file,label,method,prediction,correct,error,warning
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\Saniru photos\Saniru_01_label-3.jpeg,3,grayscale,0,0,,"Foreground touches image boundary; inspect for shadows, paper edges or clipped digit"
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\Saniru photos\Saniru_01_label-3.jpeg,3,fixed,5,0,,"Foreground touches image boundary; inspect for shadows, paper edges or clipped digit"
C:\Users\paart\OneDrive\Desktop\University\Intelligent system\assignment options\COS30018-Intelligent-Systems-project-haresh-ml-baseline\COS30018-Intelligent-Systems-project-haresh-ml-baseline\data\Saniru photos\Saniru_01_label-3.jpeg,3,otsu,5,0,,"Foreground touches image boundary; inspect for shadows, paper edges or clipped digit"
